server,package,version,license
fe-frontend,yallist,3.1.1,ISC
fe-frontend,yaml,2.9.0,ISC
fe-frontend,yaml-ast-parser,0.0.43,Apache-2.0
fe-frontend,yargs,17.7.3,MIT
fe-frontend,yargs-parser,21.1.1,ISC
fe-frontend,yocto-queue,0.1.0,MIT
fe-frontend,zustand,5.0.14,MIT
go-assessment,github.com/BurntSushi/toml,v1.4.0,MIT
go-assessment,github.com/beorn7/perks,v1.0.1,MIT
go-assessment,github.com/cespare/xxhash/v2,v2.3.0,MIT
go-assessment,github.com/davecgh/go-spew,v1.1.1,ISC
go-assessment,github.com/google/go-cmp,v0.6.0,BSD-3-Clause
go-assessment,github.com/jackc/pgpassfile,v1.0.0,MIT
go-assessment,github.com/jackc/pgservicefile,v0.0.0-20221227161230-091c0ba34f0a,MIT
go-assessment,github.com/jackc/pgx/v5,v5.6.0,MIT
go-assessment,github.com/jackc/puddle/v2,v2.2.1,MIT
go-assessment,github.com/klauspost/compress,v1.17.9,Apache-2.0
go-assessment,github.com/klauspost/compress,v1.17.9,BSD-3-Clause
go-assessment,github.com/klauspost/compress,v1.17.9,MIT
go-assessment,github.com/kylelemons/godebug,v1.1.0,Apache-2.0
go-assessment,github.com/munnerz/goautoneg,v0.0.0-20191010083416-a7dc8b61c822,BSD-3-Clause
go-assessment,github.com/pmezard/go-difflib,v1.0.0,BSD-3-Clause
go-assessment,github.com/prometheus/client_golang,v1.20.5,Apache-2.0
go-assessment,github.com/prometheus/client_golang,v1.20.5,BSD-3-Clause
go-assessment,github.com/prometheus/client_model,v0.6.1,Apache-2.0
go-assessment,github.com/prometheus/common,v0.55.0,Apache-2.0
go-assessment,github.com/prometheus/procfs,v0.15.1,Apache-2.0
go-assessment,github.com/stretchr/testify,v1.9.0,MIT
go-assessment,golang.org/x/crypto,v0.17.0,BSD-3-Clause
go-assessment,golang.org/x/sync,v0.7.0,BSD-3-Clause
go-assessment,golang.org/x/sys,v0.22.0,BSD-3-Clause
go-assessment,golang.org/x/text,v0.16.0,BSD-3-Clause
go-assessment,google.golang.org/protobuf,v1.34.2,BSD-3-Clause
go-assessment,gopkg.in/yaml.v3,v3.0.1,Apache-2.0
go-assessment,gopkg.in/yaml.v3,v3.0.1,MIT
go-auth,github.com/Azure/go-ntlmssp,v0.0.0-20221128193559-754e69321358,MIT
go-auth,github.com/BurntSushi/toml,v1.4.0,MIT
go-auth,github.com/beorn7/perks,v1.0.1,MIT
go-auth,github.com/boombuler/barcode,v1.0.1-0.20190219062509-6c824513bacc,MIT
go-auth,github.com/cespare/xxhash/v2,v2.3.0,MIT
go-auth,github.com/davecgh/go-spew,v1.1.1,ISC
go-auth,github.com/go-asn1-ber/asn1-ber,v1.5.5,MIT
go-auth,github.com/go-ldap/ldap/v3,v3.4.8,MIT
